Season,Date,Opponent,Result,Location,Goals,Assists,Points,Shots,SOG,GB,TO,CT,Goals_Allowed
2022,02/05/2022,High Point,W,home,21,13,34,45,30,32,15,5,13
2022,02/12/2022,Loyola Maryland,W,home,20,12,32,43,28,36,13,10,8
2022,02/20/2022,Syracuse,W,away,14,8,22,41,25,32,15,8,10
2022,02/26/2022,Princeton,W,home,15,9,24,50,34,42,12,13,10
2022,03/05/2022,Notre Dame,W,away,11,6,17,41,22,29,18,9,9
2022,03/12/2022,UAlbany,W,home,24,13,37,45,35,49,15,15,6
2022,03/19/2022,Virginia,W,neutral,23,14,37,53,38,40,13,10,12
2022,03/27/2022,Penn St,W,away,18,7,25,44,31,39,18,9,7
2022,04/02/2022,Michigan,W,away,20,12,32,50,34,32,12,7,12
2022,04/10/2022,Rutgers,W,home,17,13,30,45,32,32,13,3,9
2022,04/16/2022,Ohio St,W,home,19,12,31,46,38,32,10,7,12
2022,04/23/2022,Johns Hopkins,W,away,22,14,36,44,34,38,13,8,7
2022,05/05/2022,Johns Hopkins,W,home,16,14,30,42,25,32,13,12,11
2022,05/07/2022,Rutgers,W,home,17,12,29,47,29,42,13,11,7
2022,05/15/2022,Vermont,W,home,21,15,36,46,33,37,10,10,5
2022,05/22/2022,Virginia,W,neutral,18,13,31,50,29,45,18,6,9
2022,05/28/2022,Princeton,W,neutral,13,8,21,45,26,38,19,8,8
2022,05/30/2022,Cornell,W,neutral,9,9,18,37,18,43,22,8,7
