Season,Date,Opponent,Result,Location,Goals,Assists,Points,Shots,SOG,GB,TO,CT,Goals_Allowed
2022,02/05/2022,Jacksonville,W,home,11,5,16,45,28,35,17,11,8
2022,02/11/2022,Towson,W,away,18,12,30,49,31,37,15,8,12
2022,02/13/2022,Georgetown,L,home,8,3,11,43,25,29,16,5,16
2022,02/19/2022,Loyola Maryland,W,home,11,8,19,30,15,27,25,5,10
2022,02/27/2022,North Carolina,L,home,10,6,16,35,19,31,15,5,15
2022,03/05/2022,Virginia,L,home,8,3,11,44,21,30,18,6,19
2022,03/13/2022,Syracuse,W,home,10,6,16,29,17,28,21,6,7
2022,03/18/2022,Navy,L,home,10,7,17,43,22,35,17,10,11
2022,03/20/2022,Delaware,L,home,10,8,18,45,22,26,15,11,12
2022,03/26/2022,Michigan,W,home,15,11,26,41,26,29,14,9,12
2022,04/03/2022,Rutgers,L,home,7,1,8,29,14,30,20,8,12
2022,04/09/2022,Penn St.,L,home,10,8,18,41,18,29,12,4,12
2022,04/16/2022,Penn St.,W,home,13,12,25,51,31,40,14,12,10
2022,04/23/2022,Maryland,L,home,7,2,9,36,25,31,15,7,22
2022,04/30/2022,Penn St.,W,neutral,16,7,23,54,33,35,17,9,8
2022,05/05/2022,Maryland,L,neutral,11,7,18,35,25,27,16,6,16
