Season,Date,Opponent,Result,Location,Goals,Assists,Points,Shots,SOG,GB,TO,CT,Goals_Allowed
2023,02/04/2023,Richmond,W,home,15,11,26,34,24,35,16,12,4
2023,02/11/2023,Loyola Maryland,L,away,7,4,11,42,26,38,22,8,12
2023,02/18/2023,Syracuse,W,home,15,10,25,50,33,46,18,9,12
2023,02/25/2023,Princeton,W,away,11,9,20,45,27,32,16,12,5
2023,03/04/2023,Notre Dame,L,home,12,9,21,55,26,46,20,9,13
2023,03/11/2023,UAlbany,W,away,16,11,27,45,26,42,13,6,9
2023,03/18/2023,Virginia,W,away,14,6,20,48,29,37,13,8,13
2023,03/25/2023,Penn St,W,home,13,8,21,51,26,38,15,8,10
2023,04/01/2023,Michigan,L,home,11,3,14,41,21,26,9,7,16
2023,04/07/2023,Ohio St,W,away,12,5,17,38,20,32,14,4,11
2023,04/16/2023,Rutgers,W,away,11,8,19,30,23,27,20,5,8
2023,04/22/2023,Johns Hopkins,L,home,11,6,17,33,17,33,18,12,12
2023,04/29/2023,Rutgers,W,home,14,13,27,36,27,36,19,6,11
2023,05/04/2023,Johns Hopkins,W,away,14,7,21,34,24,27,16,5,9
2023,05/06/2023,Michigan,L,neutral,5,1,6,40,19,23,13,6,14
2023,05/13/2023,Army West Point,L,neutral,15,8,23,47,31,32,7,7,16
