Season,Date,Opponent,Result,Location,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO_Won,FOsTaken,Goals_Allowed
2024,02/03/2024,Richmond,W,away,12,7,19,36,22,27,17,8,17,29,11
2024,02/10/2024,Loyola Maryland,W,home,11,8,19,47,27,38,16,8,14,18,4
2024,02/17/2024,Syracuse,W,away,13,7,20,29,22,30,16,6,16,29,12
2024,02/24/2024,Princeton,W,home,13,7,20,45,33,35,13,7,21,24,7
2024,03/03/2024,Notre Dame,L,away,9,7,16,36,23,23,16,9,13,26,14
2024,03/09/2024,Brown,W,home,14,9,23,41,22,33,14,8,13,30,13
2024,03/16/2024,Virginia,L,home,10,5,15,35,21,25,17,7,16,28,14
2024,03/23/2024,Michigan,L,away,11,8,19,32,20,27,17,9,10,27,12
2024,03/31/2024,Penn St,W,away,13,9,22,48,29,31,12,6,17,28,11
2024,04/06/2024,Ohio St,W,home,8,4,12,35,19,26,19,8,13,18,7
2024,04/13/2024,Rutgers,W,home,11,7,18,30,25,32,15,6,11,21,6
2024,04/20/2024,Johns Hopkins,L,away,5,5,10,34,17,26,19,2,9,15,7
2024,05/02/2024,Penn St,L,neutral,9,5,14,40,20,36,11,4,20,31,19
2024,05/11/2024,Princeton,W,home,16,8,24,37,25,30,19,9,21,28,8
2024,05/18/2024,Duke,W,neutral,14,6,20,39,22,36,18,2,20,29,11
2024,05/25/2024,Virginia,W,neutral,12,9,21,37,17,38,18,11,15,22,6
2024,05/27/2024,Notre Dame,L,neutral,5,5,10,35,21,33,16,5,17,24,15
