Season,Date,Opponent,Result,Location,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO_Won,FOs_Taken,Goals_Allowed
2025,02/01/2025,Richmond,W,home,12,9,21,28,16,26,14,7,13,21,7
2025,02/08/2025,Loyola Maryland,W,away,8,4,12,31,19,26,18,4,13,19,7
2025,02/15/2025,Syracuse,W,home,11,5,16,32,23,22,12,7,11,22,7
2025,02/22/2025,Princeton,W,away,13,4,17,42,26,34,11,2,16,26,9
2025,03/01/2025,Notre Dame,W,neutral,11,7,18,29,20,19,13,9,6,24,10
2025,03/08/2025,Delaware,W,home,14,11,25,46,30,32,8,9,9,19,3
2025,03/15/2025,Virginia,W,away,12,5,17,30,19,22,20,3,13,22,6
2025,03/22/2025,Michigan,L,home,10,10,20,40,22,37,20,11,16,27,11
2025,03/29/2025,Penn St,W,home,13,11,24,25,19,27,16,12,8,24,8
2025,04/05/2025,Rutgers,L,away,6,5,11,40,20,31,12,8,10,17,8
2025,04/12/2025,Ohio St,W,away,13,5,18,35,25,19,13,6,15,25,8
2025,04/18/2025,Johns Hopkins,W,home,11,7,18,37,31,27,9,10,9,23,8
2025,05/01/2025,Penn St,W,neutral,10,5,15,24,15,19,13,9,4,22,8
2025,05/03/2025,Ohio St,L,neutral,10,2,12,44,29,26,11,6,15,28,14
2025,05/11/2025,Air Force,W,neutral,13,8,21,39,19,26,14,7,14,22,5
2025,05/18/2025,Georgetown,W,neutral,9,8,17,40,21,22,12,5,9,18,6
2025,05/24/2025,Syracuse,W,neutral,14,8,22,41,26,31,15,7,14,24,8
2025,05/26/2025,Cornell,L,neutral,10,4,14,39,22,33,12,6,15,27,13
