Season,Date,Opponent,Result,Location,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO_Won,FOs_Taken,Goals_Allowed
2025,02/01/2025,Denver,W,away,13,11,24,38,24,32,15,8,16,27,10
2025,02/04/2025,Towson,W,away,11,6,17,37,22,32,18,10,14,24,10
2025,02/08/2025,Georgetown,W,home,11,9,20,25,16,19,18,6,10,21,6
2025,02/15/2025,Loyola Maryland,W,away,9,6,15,30,22,23,15,9,10,20,8
2025,02/22/2025,North Carolina,L,home,12,7,19,36,19,31,12,3,15,28,13
2025,03/01/2025,Virginia,W,home,13,8,21,30,21,18,15,7,16,29,12
2025,03/09/2025,Syracuse,L,away,10,5,15,35,22,20,15,5,13,26,13
2025,03/15/2025,Navy,W,away,12,7,19,48,20,30,15,2,20,25,9
2025,03/22/2025,Rutgers,L,home,8,5,13,34,18,27,15,5,13,23,11
2025,03/29/2025,Michigan,L,away,8,3,11,38,20,25,17,7,16,22,11
2025,04/05/2025,Ohio St,L,home,10,6,16,38,25,30,14,8,19,28,14
2025,04/12/2025,Penn St,L,away,4,,4,30,11,25,17,8,7,17,10
2025,04/18/2025,Maryland,L,away,8,5,13,26,16,16,15,6,14,23,11
2025,04/26/2025,Penn St,L,away,12,9,21,36,20,34,14,5,13,29,13
